keyword,definition,merged
GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,"Surface relief of the land. Topography usually is measured in meters above sea
level. The topography can be very different from one location to another.
Topography can be flat, or mountainous, or hilly.","Label: GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY
Definition: Surface relief of the land. Topography usually is measured in meters above sea
level. The topography can be very different from one location to another.
Topography can be flat, or mountainous, or hilly."
GLACIER THICKNESS/ICE SHEET THICKNESS,The difference in height between two levels in the glacier or ice sheet.,"Label: GLACIER THICKNESS/ICE SHEET THICKNESS
Definition: The difference in height between two levels in the glacier or ice sheet."
GLACIER MASS BALANCE/ICE SHEET MASS BALANCE,Mass balance describes the net gain or loss of snow and ice through a givenyear. It is usually expressed in terms of water gain or loss.,"Label: GLACIER MASS BALANCE/ICE SHEET MASS BALANCE
Definition: Mass balance describes the net gain or loss of snow and ice through a givenyear. It is usually expressed in terms of water gain or loss."
GLACIER ELEVATION/ICE SHEET ELEVATION,"Pertaining to the measured height of large thick, glaciers, with an area ofat least 50,000 sq. km, covering a continuous stretch of land and growingin all directions.","Label: GLACIER ELEVATION/ICE SHEET ELEVATION
Definition: Pertaining to the measured height of large thick, glaciers, with an area ofat least 50,000 sq. km, covering a continuous stretch of land and growingin all directions."
GLACIER FACIES,"In general, facies are the set of all characteristics of a sedimetary rock thatindicates its particular environment of deposition and which distinguish itfrom other facies in the same rock. Glacial facies refer to the characteristicnature of glacial ice and/or the processes by which the ice formed andprocesses by which  rock debris from the bed is entrained into the ice.","Label: GLACIER FACIES
Definition: In general, facies are the set of all characteristics of a sedimetary rock thatindicates its particular environment of deposition and which distinguish itfrom other facies in the same rock. Glacial facies refer to the characteristicnature of glacial ice and/or the processes by which the ice formed andprocesses by which  rock debris from the bed is entrained into the ice."
STORM SURGE,"A phenomena wherein sea level rises above the normal tide level whenhurricanes or tropical storms move from the ocean along or across acoastal region. This sea level rise can consists of three components, thefirst of which results from low barometric pressure, i.e. the so-calledinverse barometer effect, where lower atmospheric pressure on the surfaceof the water allows it to rise. The second component is wind set-up wherethe winds drag surface","Label: STORM SURGE
Definition: A phenomena wherein sea level rises above the normal tide level whenhurricanes or tropical storms move from the ocean along or across acoastal region. This sea level rise can consists of three components, thefirst of which results from low barometric pressure, i.e. the so-calledinverse barometer effect, where lower atmospheric pressure on the surfaceof the water allows it to rise. The second component is wind set-up wherethe winds drag surface"
METHANE,"Methane (CH4) is a greenhouse gas and is seen in polar ice cores. From the ice core record, it is known that methane rose rapidly whenever climate changed from glacial to interglacial conditions (during 'deglaciation'). Warming of water bathing the seafloor could have led to large-scale release of methane from the melting of methane ice.","Label: METHANE
Definition: Methane (CH4) is a greenhouse gas and is seen in polar ice cores. From the ice core record, it is known that methane rose rapidly whenever climate changed from glacial to interglacial conditions (during 'deglaciation'). Warming of water bathing the seafloor could have led to large-scale release of methane from the melting of methane ice."
ICE CORE RECORDS,An ice core is a section of ice drilled from a glacier or ice sheet. Ice deposits contain samples of the atmosphere at the time the ice formed; they also record seasonal fluctuations of temperature and dust. That's why ice cores are extremely valuable sources of paleoclimate data on the Earth's climate in the distant past. Researchers drill sections of ice cores hundreds of meters long and then match sections at different depths with particular eras in the Earth's past. These sections can then be analyzed for clues about atmospheric gases and temperatures from hundreds of thousands of years ago.,"Label: ICE CORE RECORDS
Definition: An ice core is a section of ice drilled from a glacier or ice sheet. Ice deposits contain samples of the atmosphere at the time the ice formed; they also record seasonal fluctuations of temperature and dust. That's why ice cores are extremely valuable sources of paleoclimate data on the Earth's climate in the distant past. Researchers drill sections of ice cores hundreds of meters long and then match sections at different depths with particular eras in the Earth's past. These sections can then be analyzed for clues about atmospheric gases and temperatures from hundreds of thousands of years ago."
COASTLINE,The actual contour of the continent with the existing ice shelves.,"Label: COASTLINE
Definition: The actual contour of the continent with the existing ice shelves."
RAIN,"A type of liquid precipitation in the form of liquid water drops withdiameters greater than 0.5 millimeters (0.02 inches), or, if widelyscattered, the drops may be smaller.","Label: RAIN
Definition: A type of liquid precipitation in the form of liquid water drops withdiameters greater than 0.5 millimeters (0.02 inches), or, if widelyscattered, the drops may be smaller."
LIQUID PRECIPITATION,Liquid precipitation that reaches the Earth's surface in the form of drops.,"Label: LIQUID PRECIPITATION
Definition: Liquid precipitation that reaches the Earth's surface in the form of drops."
PRECIPITATION,All liquid or solid phase aqueous particles that originate in the atmosphere and fall to the earth's surface.,"Label: PRECIPITATION
Definition: All liquid or solid phase aqueous particles that originate in the atmosphere and fall to the earth's surface."
DRIZZLE,Precipitation consisting of numerous minute droplets of water less than 0.5 mm (500 micrometers) in diameter.,"Label: DRIZZLE
Definition: Precipitation consisting of numerous minute droplets of water less than 0.5 mm (500 micrometers) in diameter."
LIQUID PRECIPITATION,Liquid precipitation that reaches the Earth's surface in the form of drops.,"Label: LIQUID PRECIPITATION
Definition: Liquid precipitation that reaches the Earth's surface in the form of drops."
WATERSHED SLOPE,The steepness of the highest point to the lower elevations.,"Label: WATERSHED SLOPE
Definition: The steepness of the highest point to the lower elevations."
BREEDING PRODUCTIVITY,A measure of how successful reproduction is in a given breeding season. It can be used to assess the health of a population and can be an early indicator of environmental changes or population status.,"Label: BREEDING PRODUCTIVITY
Definition: A measure of how successful reproduction is in a given breeding season. It can be used to assess the health of a population and can be an early indicator of environmental changes or population status."
BIOSPHERIC INDICATORS,biosphere (the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist),"Label: BIOSPHERIC INDICATORS
Definition: biosphere (the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist)"
DUNES,"A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.","Label: DUNES
Definition: A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind."
PARABOLIC DUNE,"U-shaped mounds of sand with convex noses trailed by elongated arms are parabolic dunes. Sometimes these dunes are called U-shaped, blowout, or hairpin dunes, and they are well known in coastal deserts. Unlike crescent shaped dunes, their crests point upwind. The elongated arms of parabolic dunes follow rather than lead because they have been fixed by vegetation, while the bulk of the sand in the dune migrates forward.","Label: PARABOLIC DUNE
Definition: U-shaped mounds of sand with convex noses trailed by elongated arms are parabolic dunes. Sometimes these dunes are called U-shaped, blowout, or hairpin dunes, and they are well known in coastal deserts. Unlike crescent shaped dunes, their crests point upwind. The elongated arms of parabolic dunes follow rather than lead because they have been fixed by vegetation, while the bulk of the sand in the dune migrates forward."
DOME DUNE,"Oval or circular mounds that generally lack a slipface, dome dunes are rare, and these occur at the far upwind margins of sand seas.","Label: DOME DUNE
Definition: Oval or circular mounds that generally lack a slipface, dome dunes are rare, and these occur at the far upwind margins of sand seas."
LONGITUDINAL/LINEAR DUNE,"Elongate parallel to the prevailing wind, possibly caused by a larger dune having its smaller sides blown away. Seif dunes are sharp-crested and are common in the Sahara. They range up to 300 m (980 ft) in height and 300 km (190 mi) in length.","Label: LONGITUDINAL/LINEAR DUNE
Definition: Elongate parallel to the prevailing wind, possibly caused by a larger dune having its smaller sides blown away. Seif dunes are sharp-crested and are common in the Sahara. They range up to 300 m (980 ft) in height and 300 km (190 mi) in length."
DUNES,"A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.","Label: DUNES
Definition: A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind."
DUNES,"Mounds, ridges, or hills of wind-blown sand, either bare or covered with vegetation.","Label: DUNES
Definition: Mounds, ridges, or hills of wind-blown sand, either bare or covered with vegetation."
DUNES,An elongated mound of sand formed by wind or water.,"Label: DUNES
Definition: An elongated mound of sand formed by wind or water."
HYDROCARBONS,Organic compounds composed entirely of carbon and hydrogen atoms.,"Label: HYDROCARBONS
Definition: Organic compounds composed entirely of carbon and hydrogen atoms."
NUTRIENTS,"Elements essential for growth and survival of a given organism. Directly or indirectly, nutrients have roles in metabolism that no other nutrients fulfills.","Label: NUTRIENTS
Definition: Elements essential for growth and survival of a given organism. Directly or indirectly, nutrients have roles in metabolism that no other nutrients fulfills."
ICE CORE AIR BUBBLES,Trapped gases in ice-core bubbles are highly reliable records of atmospheric composition in reconstructing past climates.,"Label: ICE CORE AIR BUBBLES
Definition: Trapped gases in ice-core bubbles are highly reliable records of atmospheric composition in reconstructing past climates."
IONS,"Pertaining to the measurement of various electrostatic ally charged compounds found in ice cores. Ions can be analyzed to infer human, biological, and volcanic activity, as well as ocean water conditions.","Label: IONS
Definition: Pertaining to the measurement of various electrostatic ally charged compounds found in ice cores. Ions can be analyzed to infer human, biological, and volcanic activity, as well as ocean water conditions."
PARTICULATE MATTER,"Particulate matter in ice cores (continental dust, volcanic ash, diatoms, and pollen) can provide information on past climate conditions and climate variability.","Label: PARTICULATE MATTER
Definition: Particulate matter in ice cores (continental dust, volcanic ash, diatoms, and pollen) can provide information on past climate conditions and climate variability."
ABYSSAL HILLS/PLAINS,"Pertaining to geophysical (seismic, magnetic, gravity, etc.) data collected
on the plains and hills of the deep oceanic floor. 
ABYSSAL HILLS: Small hills found only in the deep sea which rise from the oceanbasin floor with heights ranging from 10 to over 500 feet and widths from a fewhundred feet to a few miles. They are found along the seaward margin of most
abyssal plains and originate from the spreading of mid-ocean ridges. As such,
they usually form two strips parallel to mid-ocean ridges. They generally
decrease in height as one traverses away from the ridges as they gradually
become covered with sediment and are replaced by abyssal plains.
ABYSSAL PLAINS: Flat areas of the ocean basin floor which slope less than 1
part in 1000. These were formed by turbidity currents which covered the
preexisting topography. Most abyssal plains are located between the base of thecontinental rise and the abyssal hills. The remainder are trench abyssal plainsthat lie in the bottom of deep-sea trenches. This latter type traps all
sediment from turbidity currents and prevents abyssal plains from forming
further seaward, e.g. much of the Pacific Ocean floor.","Label: ABYSSAL HILLS/PLAINS
Definition: Pertaining to geophysical (seismic, magnetic, gravity, etc.) data collected
on the plains and hills of the deep oceanic floor. 
ABYSSAL HILLS: Small hills found only in the deep sea which rise from the oceanbasin floor with heights ranging from 10 to over 500 feet and widths from a fewhundred feet to a few miles. They are found along the seaward margin of most
abyssal plains and originate from the spreading of mid-ocean ridges. As such,
they usually form two strips parallel to mid-ocean ridges. They generally
decrease in height as one traverses away from the ridges as they gradually
become covered with sediment and are replaced by abyssal plains.
ABYSSAL PLAINS: Flat areas of the ocean basin floor which slope less than 1
part in 1000. These were formed by turbidity currents which covered the
preexisting topography. Most abyssal plains are located between the base of thecontinental rise and the abyssal hills. The remainder are trench abyssal plainsthat lie in the bottom of deep-sea trenches. This latter type traps all
sediment from turbidity currents and prevents abyssal plains from forming
further seaward, e.g. much of the Pacific Ocean floor."
BEACHES,A zone of unconsolidated particles extending from below water level to theedge of the coastal zone.,"Label: BEACHES
Definition: A zone of unconsolidated particles extending from below water level to theedge of the coastal zone."
BEACHES,"Geological landform along the shoreline of an ocean, sea or lake. It usually consists of loose particles which are often composed of rock, such as sand, gravel, shingle, pebbles, waves or cobblestones.","Label: BEACHES
Definition: Geological landform along the shoreline of an ocean, sea or lake. It usually consists of loose particles which are often composed of rock, such as sand, gravel, shingle, pebbles, waves or cobblestones."
HYDROLOGICAL ADVISORIES,"Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from the cycling of water on and inside the Earth.","Label: HYDROLOGICAL ADVISORIES
Definition: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from the cycling of water on and inside the Earth."
FIRE ADVISORIES,"Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from wildfires or prescribed burns.","Label: FIRE ADVISORIES
Definition: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from wildfires or prescribed burns."
GEOLOGICAL ADVISORIES,"Reports providing information on changes in environmental factors including
warnings of potential threat to life, property, agricultural resources, and/or
the environment arising from the natural processes that occur within the Earth.These processes include but are not limited to those that create, deform,
destroy, and/or recycle the lithosphere of the Earth.","Label: GEOLOGICAL ADVISORIES
Definition: Reports providing information on changes in environmental factors including
warnings of potential threat to life, property, agricultural resources, and/or
the environment arising from the natural processes that occur within the Earth.These processes include but are not limited to those that create, deform,
destroy, and/or recycle the lithosphere of the Earth."
HEALTH ADVISORIES,Reports providing information on changes in environmental factors including warnings about epidemiological or environmental hazards that potentially threaten animal or human health.,"Label: HEALTH ADVISORIES
Definition: Reports providing information on changes in environmental factors including warnings about epidemiological or environmental hazards that potentially threaten animal or human health."
MARINE ADVISORIES,"Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, resources, and/or theenvironment arising from hazards in and around navigable water.","Label: MARINE ADVISORIES
Definition: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, resources, and/or theenvironment arising from hazards in and around navigable water."
DROUGHT,"Drought should be considered relative to some long-term average condition ofbalance between precipitation and evapotranspiration (ET) in a particular area,a condition often perceived as 'normal.' Common to all types of drought is the
fact that they originate from a deficiency of precipitation that results inwater shortage for some activity or for some group. It is also commonlyrecognized that other meteorological elements, such as temperature, wind, and
relative humidity, may aggravate the severity and impacts of drought in someinstances. <BR><BR> 
A Drought Advisory may report on drought occurring in a particular region.","Label: DROUGHT
Definition: Drought should be considered relative to some long-term average condition ofbalance between precipitation and evapotranspiration (ET) in a particular area,a condition often perceived as 'normal.' Common to all types of drought is the
fact that they originate from a deficiency of precipitation that results inwater shortage for some activity or for some group. It is also commonlyrecognized that other meteorological elements, such as temperature, wind, and
relative humidity, may aggravate the severity and impacts of drought in someinstances. <BR><BR> 
A Drought Advisory may report on drought occurring in a particular region."
WATER RESOURCES,"Advisories about the natural, potentially useful sources of water.","Label: WATER RESOURCES
Definition: Advisories about the natural, potentially useful sources of water."
CUSPATE FORELANDS,"Geographical features found on coastlines and created by long shore drift. Made out of sand and shingle, and later stabilized by vegetation, cuspate forelands are triangular-shaped accretions and extend seawards.","Label: CUSPATE FORELANDS
Definition: Geographical features found on coastlines and created by long shore drift. Made out of sand and shingle, and later stabilized by vegetation, cuspate forelands are triangular-shaped accretions and extend seawards."
SQUIDS,Phylum Mollusca. Class Cephalopoda. Marine molluscs characterized by a condensed anteroposteriorly and extended dorso-ventrally body plan and a reduce shell with only a pen remaining,"Label: SQUIDS
Definition: Phylum Mollusca. Class Cephalopoda. Marine molluscs characterized by a condensed anteroposteriorly and extended dorso-ventrally body plan and a reduce shell with only a pen remaining"
SOLAR INDUCED FLUORESCENCE,Solar-induced fluorescence is the glow plants emit from photosynthesis — the process of plant growth that includes the capture of carbon from the atmosphere. Areas with lower photosynthesis activity are in shown in light green; areas with higher photosynthesis activity are shown in dark green.,"Label: SOLAR INDUCED FLUORESCENCE
Definition: Solar-induced fluorescence is the glow plants emit from photosynthesis — the process of plant growth that includes the capture of carbon from the atmosphere. Areas with lower photosynthesis activity are in shown in light green; areas with higher photosynthesis activity are shown in dark green."
RADIOISOTOPES,"Any radioactive form of a chemical element, having the same atomic weight as that element (i.e. same number of protons), but a different number of neutrons. Used in a variety of oceanic applications such as dating andmovement of water masses.","Label: RADIOISOTOPES
Definition: Any radioactive form of a chemical element, having the same atomic weight as that element (i.e. same number of protons), but a different number of neutrons. Used in a variety of oceanic applications such as dating andmovement of water masses."
GLACIER THICKNESS/ICE SHEET THICKNESS,The difference in height between two levels in the glacier or ice sheet.,"Label: GLACIER THICKNESS/ICE SHEET THICKNESS
Definition: The difference in height between two levels in the glacier or ice sheet."
CYCADS,"Division Cycadophyta. Plants  resembling palms with a ligneous trunk, stiff evergreen pinnate leaves.","Label: CYCADS
Definition: Division Cycadophyta. Plants  resembling palms with a ligneous trunk, stiff evergreen pinnate leaves."
CHAPARRAL,Pertaining to distinct shrubland unique to California.,"Label: CHAPARRAL
Definition: Pertaining to distinct shrubland unique to California."
BENTHIC,Pertaining to ocean bottom as the place where an organism lives.,"Label: BENTHIC
Definition: Pertaining to ocean bottom as the place where an organism lives."
GLACIER/ICE CAVES,"Refers to any type of natural cave (most commonly lava tubes or limestone caves) that contains significant amounts of perennial (year-round) ice. At least a portion of the cave must have a temperature below 0 °C (32 °F) all year round, and water must have traveled into the cave’s cold zone.","Label: GLACIER/ICE CAVES
Definition: Refers to any type of natural cave (most commonly lava tubes or limestone caves) that contains significant amounts of perennial (year-round) ice. At least a portion of the cave must have a temperature below 0 °C (32 °F) all year round, and water must have traveled into the cave’s cold zone."
FRONTAL FOG,Fog associated with frontal zones and frontal passages.It is usually divided into three types: warm-front prefrontal fog; cold-front post-frontal fog; and frontal-passage fog. The first two types are a result of rain falling into cold stable air and raising the dewpoint temperature. Frontal-passage fog can result from the 'mixing of warm and cold air masses in the frontal zone' or by 'sudden cooling of air over moist ground.',"Label: FRONTAL FOG
Definition: Fog associated with frontal zones and frontal passages.It is usually divided into three types: warm-front prefrontal fog; cold-front post-frontal fog; and frontal-passage fog. The first two types are a result of rain falling into cold stable air and raising the dewpoint temperature. Frontal-passage fog can result from the 'mixing of warm and cold air masses in the frontal zone' or by 'sudden cooling of air over moist ground.'"
PALEOMAGNETIC DATA,Paleomagnetism is the study of natural remnant magnetization of the Earth's materials in order to determine the itensity and direction of the Earth's magnetic field in the geologic past. Variations in the Earth's magnetic field can be used as a means of stratigraphic correlation. Major reversals of the Earth's magnetic field are well known and the record of these reversals in sediments can be used as time markers or chronostratigraphic horizons.,"Label: PALEOMAGNETIC DATA
Definition: Paleomagnetism is the study of natural remnant magnetization of the Earth's materials in order to determine the itensity and direction of the Earth's magnetic field in the geologic past. Variations in the Earth's magnetic field can be used as a means of stratigraphic correlation. Major reversals of the Earth's magnetic field are well known and the record of these reversals in sediments can be used as time markers or chronostratigraphic horizons."
VOLCANIC DEPOSITS,"Volcanic deposits can consist of tephra, which is airborne pyroclastic material. Extremely explosive volcanic eruptions can produce vast quantities of tephra over wide areas. Tephra layers can form regional isochronous stratigraphic markers. Tephrachronology can a very important tool in paleoclimatic studies. Volcanic ash horizons can also be used as chronostratigraphic markers.","Label: VOLCANIC DEPOSITS
Definition: Volcanic deposits can consist of tephra, which is airborne pyroclastic material. Extremely explosive volcanic eruptions can produce vast quantities of tephra over wide areas. Tephra layers can form regional isochronous stratigraphic markers. Tephrachronology can a very important tool in paleoclimatic studies. Volcanic ash horizons can also be used as chronostratigraphic markers."
GLACIAL RETREAT,A condition occurring when backward melting at the front of a glacier takes place at a rate exceeding forward motion.,"Label: GLACIAL RETREAT
Definition: A condition occurring when backward melting at the front of a glacier takes place at a rate exceeding forward motion."
CAVE DEPOSITS,"Cave deposits, or speleothems, are mineral formations in caves. While the water flows, the speleothems grow in thin, shiny layers. The amount of growth is an indicator of how much ground water dripped into the cave. Little growth might indicate a drought, just as rapid growth could point to heavy precipitation. When the speleothems stop growing, the outside becomes dirty and eroded in places, giving it a dull appearance. Spelothems can be dated by measuring how much uranium has decayed. Evidence of past climate changes can be inferred from measuring oxygen isotopes in speleothems.","Label: CAVE DEPOSITS
Definition: Cave deposits, or speleothems, are mineral formations in caves. While the water flows, the speleothems grow in thin, shiny layers. The amount of growth is an indicator of how much ground water dripped into the cave. Little growth might indicate a drought, just as rapid growth could point to heavy precipitation. When the speleothems stop growing, the outside becomes dirty and eroded in places, giving it a dull appearance. Spelothems can be dated by measuring how much uranium has decayed. Evidence of past climate changes can be inferred from measuring oxygen isotopes in speleothems."
GLACIATION,"A glaciation (a created composite term meaning Glacial Period, referring to the Period or Era of, as well as the process of High Glacial Activity), often called an ice age, is a geological phenomenon in which massive ice sheets form in the Arctic and Antarctic and advance toward the equator. Conversely, the term interglacial or Interglacial Period, such as the current era, is used to denote the absence of large-scale glaciation on a global scale ¿ i.e., a non-Ice Age. Interglacials are, in general, shorter than glacial epochs.","Label: GLACIATION
Definition: A glaciation (a created composite term meaning Glacial Period, referring to the Period or Era of, as well as the process of High Glacial Activity), often called an ice age, is a geological phenomenon in which massive ice sheets form in the Arctic and Antarctic and advance toward the equator. Conversely, the term interglacial or Interglacial Period, such as the current era, is used to denote the absence of large-scale glaciation on a global scale ¿ i.e., a non-Ice Age. Interglacials are, in general, shorter than glacial epochs."
PALEOSOLS,Paleosols are soils that formed in a landscape of the past with distinctive morphological features resulting from a soil-forming environment that no longer exists at the site.,"Label: PALEOSOLS
Definition: Paleosols are soils that formed in a landscape of the past with distinctive morphological features resulting from a soil-forming environment that no longer exists at the site."
WIND FARM,Pertaining to an area of land with a cluster of wind turbines for driving electrical generators.,"Label: WIND FARM
Definition: Pertaining to an area of land with a cluster of wind turbines for driving electrical generators."
SPECIES MIGRATION,"Migration is the relatively long-distance movement of individuals, usually on a seasonal basis. It is a ubiquitous phenomenon, found in all major animal groups, including birds, mammals, fish, reptiles, amphibians, insects, and crustaceans. The trigger for the migration may be local climate, local availability of food, the season of the year or for mating reasons.","Label: SPECIES MIGRATION
Definition: Migration is the relatively long-distance movement of individuals, usually on a seasonal basis. It is a ubiquitous phenomenon, found in all major animal groups, including birds, mammals, fish, reptiles, amphibians, insects, and crustaceans. The trigger for the migration may be local climate, local availability of food, the season of the year or for mating reasons."
VECTOR SPECIES,"An organism, such as an insect, that transmits disease-causing microorganisms such as viruses or bacteria.","Label: VECTOR SPECIES
Definition: An organism, such as an insect, that transmits disease-causing microorganisms such as viruses or bacteria."
BIRTH RATE DECLINE/INCREASE,"Refers to the decline and increase of the birth rate. Birth rate, also known as natality, is the total number of live human births per 1,000 population for a given period divided by the length of the period in years.","Label: BIRTH RATE DECLINE/INCREASE
Definition: Refers to the decline and increase of the birth rate. Birth rate, also known as natality, is the total number of live human births per 1,000 population for a given period divided by the length of the period in years."
INDICATOR SPECIES,"A species whose presence, absence, or relative well-being in a given environment is a sign of the overall health of its ecosystem. By monitoring the condition and behavior of an indicator species, scientists can determine how changes in the environment are likely to affect other species that are more difficult to study.","Label: INDICATOR SPECIES
Definition: A species whose presence, absence, or relative well-being in a given environment is a sign of the overall health of its ecosystem. By monitoring the condition and behavior of an indicator species, scientists can determine how changes in the environment are likely to affect other species that are more difficult to study."
HYPOXIC CONDITIONS,"In ocean and freshwater environments, hypoxic conditions occur when dissolved oxygen concentration is depleted to a certain low level below which aquatic organisms, especially immobile species such as oysters and mussels, endure severe stress or die.​​ Hypoxic conditions can occur naturally but are often the consequence of excessive nutrient input from human activities.","Label: HYPOXIC CONDITIONS
Definition: In ocean and freshwater environments, hypoxic conditions occur when dissolved oxygen concentration is depleted to a certain low level below which aquatic organisms, especially immobile species such as oysters and mussels, endure severe stress or die.​​ Hypoxic conditions can occur naturally but are often the consequence of excessive nutrient input from human activities."
LOESS,An aeolian sediment formed by the accumulation of wind-blown silt and lesser and variable amounts of sand and clay that are loosely cemented by calcium carbonate. It is usually homogeneous and highly porous and is traversed by vertical capillaries that permit the sediment to fracture and form vertical bluffs.,"Label: LOESS
Definition: An aeolian sediment formed by the accumulation of wind-blown silt and lesser and variable amounts of sand and clay that are loosely cemented by calcium carbonate. It is usually homogeneous and highly porous and is traversed by vertical capillaries that permit the sediment to fracture and form vertical bluffs."
MASS BALANCE,"The definition of how the mass of an area changes over time; i.e. how balanced the mass is (e.g., whether processes that cause an increase mass, such as precipitation, are balanced with processes that cause mass loss, such as runoff and evaporation).","Label: MASS BALANCE
Definition: The definition of how the mass of an area changes over time; i.e. how balanced the mass is (e.g., whether processes that cause an increase mass, such as precipitation, are balanced with processes that cause mass loss, such as runoff and evaporation)."
SURFACE MASS,"The summation of all mass within ~20 km of the Earth’s surface (i.e. groundwater, soil moisture, surface water, snow, atmosphere) expressed on the surface of the Earth.","Label: SURFACE MASS
Definition: The summation of all mass within ~20 km of the Earth’s surface (i.e. groundwater, soil moisture, surface water, snow, atmosphere) expressed on the surface of the Earth."
CRYOSOLS,"Soil formed in either mineral or organic materials having permafrost either within 1 m below the surface or, if the soil is strongly cryoturbated, with 2 m below the surface, and having a mean annual ground temperature below 0 deg C.","Label: CRYOSOLS
Definition: Soil formed in either mineral or organic materials having permafrost either within 1 m below the surface or, if the soil is strongly cryoturbated, with 2 m below the surface, and having a mean annual ground temperature below 0 deg C."
STABILITY,The ability of a mineral to remain unaltered over a stated range of pressure and temperature.,"Label: STABILITY
Definition: The ability of a mineral to remain unaltered over a stated range of pressure and temperature."
METAMORPHIC ROCK PHYSICAL/OPTICAL PROPERTIES,The study and analysis of the various physical and optical properties of metamorphic rocks.,"Label: METAMORPHIC ROCK PHYSICAL/OPTICAL PROPERTIES
Definition: The study and analysis of the various physical and optical properties of metamorphic rocks."
CRYOSPHERE MODELS,"Cryosphere Models are models that look at the Earth's cryosphere regions, specifically looking at frozen water, snow, permafrost, floating ice, and glaciers. The cryosphere component is directly related to ocean sea-level, therefore is indirectly related to changes in the atmosphere and biosphere.","Label: CRYOSPHERE MODELS
Definition: Cryosphere Models are models that look at the Earth's cryosphere regions, specifically looking at frozen water, snow, permafrost, floating ice, and glaciers. The cryosphere component is directly related to ocean sea-level, therefore is indirectly related to changes in the atmosphere and biosphere."
LIQUID WATER EQUIVALENT THICKNESS (LWET),A unit of measurement of how thick a uniform layer of water at the surface of the Earth would need to be to account for an equivalent mass at the surface of the Earth.,"Label: LIQUID WATER EQUIVALENT THICKNESS (LWET)
Definition: A unit of measurement of how thick a uniform layer of water at the surface of the Earth would need to be to account for an equivalent mass at the surface of the Earth."
SUBDUCTION,"The process that takes place at convergent boundaries by which one tectonic plate moves under another tectonic plate, sinking into the Earth's mantle, as the plates converge. A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs.","Label: SUBDUCTION
Definition: The process that takes place at convergent boundaries by which one tectonic plate moves under another tectonic plate, sinking into the Earth's mantle, as the plates converge. A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs."
LAND USE CLASSES,"Classifications as to human employment of land; includes settlements, cultivation, pasture, rangeland, and recreation, among others.","Label: LAND USE CLASSES
Definition: Classifications as to human employment of land; includes settlements, cultivation, pasture, rangeland, and recreation, among others."
LAND USE/LAND COVER CLASSIFICATION,"Corresponds to the description of areas and the Earth's surface as it relates to areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc.","Label: LAND USE/LAND COVER CLASSIFICATION
Definition: Corresponds to the description of areas and the Earth's surface as it relates to areas used for residential, industrial or commercial purposes, for farming or forestry, for recreational or conservation purposes, etc."
SEDIMENT TRANSPORT,"The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting.","Label: SEDIMENT TRANSPORT
Definition: The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting."
FLUVIAL PROCESSES,The physical interaction of flowing water and the natural channels of rivers and streams. Such processes play an essential and conspicuous role in the denudation of land surfaces and the transport of rock detritus from higher to lower levels.,"Label: FLUVIAL PROCESSES
Definition: The physical interaction of flowing water and the natural channels of rivers and streams. Such processes play an essential and conspicuous role in the denudation of land surfaces and the transport of rock detritus from higher to lower levels."
